PAYS,STAT_DEV,ESP_VIE,MORT_ADU,MORT_ENF,PREV_VIH,IDH,SCOL,VACC_POLIO
Afghanistan,Developing,65,263,62,0.1,0.479,10.1,6
Albania,Developing,77.8,74,0,0.1,0.762,14.2,99
Algeria,Developing,75.6,19,21,0.1,0.743,14.4,95
Angola,Developing,52.4,335,66,1.9,0.531,11.4,7
Antigua and Barbuda,Developing,76.4,13,0,0.2,0.784,13.9,86
Argentina,Developing,76.3,116,8,0.1,0.826,17.3,93
Armenia,Developing,74.8,118,1,0.1,0.741,12.7,96
Australia,Developed,82.8,59,1,0.1,0.937,20.4,93
Austria,Developed,81.5,65,0,0.1,0.892,15.9,93
Azerbaijan,Developing,72.7,118,5,0.1,0.758,12.7,98
Bahamas,Developing,76.1,147,0,0.1,0.79,12.6,95
Bahrain,Developing,76.9,69,0,0.1,0.823,14.5,98
Bangladesh,Developing,71.8,129,92,0.1,0.575,10.2,97
Barbados,Developing,75.5,98,0,0.1,0.794,15.3,97
Belarus,Developing,72.3,196,0,0.1,0.798,15.6,99
Belgium,Developed,81.1,74,0,0.1,0.895,16.6,99
Belize,Developing,71,175,0,0.2,0.706,12.8,94
Benin,Developing,60,249,25,1,0.481,10.7,78
Bhutan,Developing,69.8,211,0,0.5,0.604,12.5,98
Bolivia,Developing,77,186,8,0.1,0.671,13.8,99
Bosnia and Herzegovina,Developing,77.4,88,0,0.1,0.747,14.2,74
Botswana,Developing,65.7,256,2,2.2,0.698,12.6,96
Brazil,Developing,75,142,42,0.1,0.754,15.2,98
Brunei Darussalam,Developing,77.7,78,0,0.1,0.864,14.9,99
Bulgaria,Developed,74.5,137,0,0.1,0.792,15,91
Burkina Faso,Developing,59.9,26,38,0.6,0.399,7.7,91
Burundi,Developing,59.6,288,21,0.7,0.406,10.6,94
Côte d'Ivoire,Developing,53.3,397,57,1.9,,,
Cabo Verde,Developing,73.3,114,0,0.2,0.646,13.5,93
Cambodia,Developing,68.7,174,10,0.2,0.558,10.9,87
Cameroon,Developing,57.3,357,45,3.5,0.514,10.4,83
Canada,Developing,82.2,64,2,0.1,0.919,16.3,91
Central African Republic,Developing,52.5,397,15,4.4,0.347,7.1,47
Chad,Developing,53.1,356,46,2.8,0.394,7.3,52
Chile,Developing,85,82,2,0.1,0.845,16.3,96
China,Developing,76.1,85,157,0.1,0.734,13.5,99
Colombia,Developing,74.8,143,10,0.1,0.724,13.6,91
Comoros,Developing,63.5,227,1,0.8,0.498,11.1,92
Congo,Developing,64.7,267,7,2.8,0.59,11.1,8
Costa Rica,Developing,79.6,95,1,0.1,0.775,14.2,92
Croatia,Developed,78,95,0,0.1,0.823,15.3,94
Cuba,Developing,79.1,92,1,0.1,0.773,13.9,99
Cyprus,Developed,85,52,0,0.1,0.854,14.3,97
Czechia,Developed,78.8,86,0,0.1,,,97
Democratic People's Republic of Korea,Developing,76,139,6,0.1,,,99
Democratic Republic of the Congo,Developing,59.8,258,236,1.1,,,78
Denmark,Developed,86,71,0,0.1,0.923,19.2,93
Djibouti,Developing,63.5,241,1,2.1,0.47,6.3,84
Dominican Republic,Developing,73.9,152,6,0.3,0.718,13.2,87
Ecuador,Developing,76.2,118,6,0.1,0.739,14,84
Egypt,Developing,79,159,51,0.1,0.688,13.1,93
El Salvador,Developing,73.5,178,2,0.2,0.678,13.2,92
Equatorial Guinea,Developing,58.2,32,3,4.2,0.582,9.2,17
Eritrea,Developing,64.7,255,5,0.4,0.418,5,95
Estonia,Developing,77.6,119,0,0.1,0.863,16.5,93
Ethiopia,Developing,64.8,225,136,0.6,0.441,8.4,75
Fiji,Developing,69.9,188,0,0.1,0.734,15.3,99
Finland,Developing,81.1,76,0,0.1,0.893,17,97
France,Developing,82.4,78,2,0.1,0.894,16.3,98
Gabon,Developing,66,229,2,2.7,0.694,12.6,79
Gambia,Developing,61.1,262,3,1.7,0.45,8.9,96
Georgia,Developing,74.4,129,1,0.1,0.768,13.9,91
Germany,Developed,81,68,2,0.1,0.924,17.1,94
Ghana,Developing,62.4,249,37,0.7,0.575,11.4,88
Greece,Developing,81,72,0,0.1,0.865,17.2,99
Grenada,Developing,73.6,142,0,0.1,0.751,15.8,99
Guatemala,Developing,71.9,186,10,0.4,0.637,10.7,9
Guinea,Developing,59,284,26,0.5,0.414,8.8,42
Guinea-Bissau,Developing,58.9,275,4,3.2,0.421,9.2,87
Guyana,Developing,66.2,215,0,0.3,0.638,10.3,92
Haiti,Developing,63.5,24,14,0.5,0.49,9.1,56
Honduras,Developing,74.6,147,3,0.3,0.623,11.2,97
Hungary,Developed,75.8,134,0,0.1,0.834,15.6,99
Iceland,Developed,82.7,49,0,0.1,0.919,19,92
India,Developing,68.3,181,910,0.2,0.615,11.6,86
Indonesia,Developing,69.1,176,114,0.3,0.686,12.9,8
Iran (Islamic Republic of),Developing,75.5,83,18,0.1,0.774,14.8,98
Iraq,Developing,68.9,182,32,0.1,0.649,10.1,63
Ireland,Developed,81.4,64,0,0.1,0.92,18.6,95
Israel,Developing,82.5,58,0,0.1,0.898,16,95
Italy,Developed,82.7,56,1,0.1,0.881,16.3,93
Jamaica,Developing,76.2,125,1,0.5,0.729,12.8,91
Japan,Developed,83.7,55,2,0.1,0.902,15.3,99
Jordan,Developing,74.1,112,4,0.1,0.741,13.1,99
Kazakhstan,Developing,72,198,4,0.1,0.793,15,98
Kenya,Developing,63.4,249,54,2.8,0.55,11.1,83
Kiribati,Developing,66.3,198,0,0.1,0.586,11.9,8
Kuwait,Developing,74.7,81,0,0.1,0.799,13.3,99
Kyrgyzstan,Developing,71.1,166,3,0.1,0.662,13,97
Lao People's Democratic Republic,Developing,65.7,194,8,0.2,0.582,10.8,89
Latvia,Developed,74.6,153,0,0.1,0.828,16,95
Lebanon,Developing,74.9,98,1,0.1,0.763,13.3,75
Lesotho,Developing,53.7,484,4,9.3,0.495,10.7,9
Liberia,Developing,61.4,259,8,0.9,0.427,9.9,52
Libya,Developing,72.7,138,1,0.1,0.719,13.4,97
Lithuania,Developed,73.6,165,0,0.1,0.846,16.5,93
Luxembourg,Developed,82,63,0,0.1,0.896,13.9,99
Madagascar,Developing,65.5,22,28,0.3,0.511,10.3,71
Malawi,Developing,58.3,365,26,4.8,0.473,10.8,88
Malaysia,Developing,75,123,4,0.1,0.787,13.1,99
Maldives,Developing,78.5,61,0,0.1,0.701,12.7,99
Mali,Developing,58.2,266,52,1.5,0.438,8.4,66
Malta,Developed,81.7,54,0,0.1,0.853,14.6,97
Mauritania,Developing,63.1,25,8,0.9,0.513,8.5,67
Mauritius,Developing,74.6,146,0,0.1,0.779,15.2,98
Mexico,Developing,76.7,122,30,0.1,0.758,13.3,87
Micronesia (Federated States of),Developing,69.4,166,0,0.1,0.637,11.7,71
Mongolia,Developing,68.8,222,1,0.1,0.733,14.8,99
Montenegro,Developing,76.1,16,0,0.1,0.804,15.1,89
Morocco,Developing,74.3,95,17,0.1,0.645,12.1,99
Mozambique,Developing,57.6,355,60,3.9,0.414,9.1,8
Myanmar,Developing,66.6,199,39,0.3,0.552,9.1,89
Namibia,Developing,65.8,248,2,2.1,0.637,11.7,92
Nepal,Developing,69.2,165,17,0.1,0.555,12.2,9
Netherlands,Developed,81.9,57,1,0.1,0.923,18.1,95
New Zealand,Developed,81.6,66,0,0.1,0.913,19.2,92
Nicaragua,Developing,74.8,145,2,0.1,0.642,11.7,99
Niger,Developing,61.8,22,49,0.4,0.351,5.4,65
Nigeria,Developing,54.5,344,483,3.7,0.525,10,49
Norway,Developed,81.8,59,0,0.1,0.948,17.7,95
Oman,Developing,76.6,99,1,0.1,0.795,13.7,99
Pakistan,Developing,66.4,161,352,0.1,0.548,8.1,72
Panama,Developing,77.8,118,1,0.1,0.785,13,72
Papua New Guinea,Developing,62.9,275,10,0.6,0.515,10,74
Paraguay,Developing,74,146,2,0.2,0.692,12.3,89
Peru,Developing,75.5,123,8,0.1,0.737,13.4,88
Philippines,Developing,68.5,211,52,0.1,0.679,11.7,79
Poland,Developed,77.5,117,2,0.1,0.852,16.4,92
Portugal,Developed,81.1,76,0,0.1,0.841,16.6,98
Qatar,Developing,78.2,68,0,0.1,0.855,13.4,99
Republic of Korea,Developing,82.3,64,1,0.1,,,98
Republic of Moldova,Developing,72.1,157,1,0.1,,,88
Romania,Developed,75,133,2,0.1,0.798,14.7,89
Russian Federation,Developing,75,222,13,0.1,0.805,15,97
Rwanda,Developing,66.1,227,11,0.4,0.493,10.8,99
Saint Lucia,Developing,75.2,138,0,0.1,0.735,13.1,99
Saint Vincent and the Grenadines,Developing,73.2,156,0,0.1,0.72,13.3,97
Samoa,Developing,74,125,0,0.1,0.702,12.9,61
Sao Tome and Principe,Developing,67.5,19,0,0.2,0.565,11.2,96
Saudi Arabia,Developing,74.5,88,7,0.1,0.845,16.1,97
Senegal,Developing,66.7,188,19,0.3,0.491,9.5,85
Serbia,Developing,75.6,121,1,0.1,0.775,14.4,95
Seychelles,Developing,73.2,168,0,0.1,0.781,14.1,97
Sierra Leone,Developing,51,413,22,0.5,0.431,9.5,86
Singapore,Developed,83.1,55,0,0.1,0.924,15.4,96
Slovakia,Developed,76.7,19,0,0.1,0.842,15,96
Slovenia,Developed,88,74,0,0.1,0.888,17.3,95
Solomon Islands,Developing,69.2,177,0,0.1,0.514,9.6,99
Somalia,Developing,55,312,50,0.7,,,47
South Africa,Developing,62.9,328,42,3.6,0.665,13,75
South Sudan,Developing,57.3,332,26,3.4,0.421,4.9,41
Spain,Developed,82.8,56,1,0.1,0.882,17.7,97
Sri Lanka,Developing,74.9,138,3,0.1,0.764,14,99
Sudan,Developing,64.1,225,58,0.3,0.488,7.2,93
Suriname,Developing,71.6,176,0,0.4,0.723,12.7,89
Swaziland,Developing,58.9,373,2,7.1,0.541,11.4,84
Sweden,Developed,82.4,53,0,0.1,0.909,15.9,98
Switzerland,Developed,83.4,49,0,0.1,0.938,16,97
Syrian Arab Republic,Developing,64.5,293,6,0.1,0.553,9,5
Tajikistan,Developing,69.7,161,10,0.2,0.625,11.3,96
Thailand,Developing,74.9,148,8,0.1,0.738,13.6,99
The former Yugoslav republic of Macedonia,Developing,75.7,12,0,0.1,0.746,12.9,92
Timor-Leste,Developing,68.3,152,2,0.1,0.603,12.5,75
Togo,Developing,59.9,287,13,1,0.484,12,88
Tonga,Developing,73.5,133,0,0.1,0.718,14.3,8
Trinidad and Tobago,Developing,71.2,17,0,0.3,0.779,12.7,88
Tunisia,Developing,75.3,1,3,0.1,0.723,14.6,98
Turkey,Developing,75.8,16,15,0.1,0.764,14.5,97
Turkmenistan,Developing,66.3,215,6,0.1,0.688,10.8,99
Uganda,Developing,62.3,291,66,3.1,0.488,10,82
Ukraine,Developing,71.3,195,4,0.2,0.748,15.3,51
United Arab Emirates,Developing,77.1,75,1,0.1,0.836,13.3,99
United Kingdom of Great Britain and Northern Ireland,Developed,81.2,69,3,0.1,,,96
United Republic of Tanzania,Developing,61.8,279,85,1.4,,,96
United States of America,Developed,79.3,13,23,0.1,,,93
Uruguay,Developing,77,116,0,0.1,0.794,15.5,95
Uzbekistan,Developing,69.4,184,15,0.1,0.697,12.1,99
Vanuatu,Developing,72,13,0,0.1,0.598,10.8,65
Venezuela (Bolivarian Republic of),Developing,74.1,157,9,0.1,0.769,14.3,87
Viet Nam,Developing,76,127,28,0.1,0.678,12.6,97
Yemen,Developing,65.7,224,37,0.1,0.499,9,63
Zambia,Developing,61.8,33,27,4.1,0.576,12.5,9
Zimbabwe,Developing,67,336,22,6.2,0.507,10.3,88
